ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Site ID,Other - Site ID,Date,Observer Type,Observer Name,Other - Observer Name,Survey Type,GPS track recorded,Bearing,Wind (km/h),Dominant Shrub,Dominant Understory,Start time,Time to first detection,First detection type,Fresh squirrel scat samples collected,Fresh jackrabbit scat samples collected,Comments/Notes,x,y
30,96c65b88-ad6d-4196-888c-c926210c6249,10/26/2025 6:11:53 PM,,10/26/2025 6:11:53 PM,,105346,,4/3/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,10:20,10:25,,0,0,,0,0
31,b4deaf52-0c60-42ba-813f-41d3a69ee3f7,10/26/2025 6:14:56 PM,,10/26/2025 6:14:56 PM,,105333,,4/3/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,09:43,09:48,,0,0,,0,0
32,69e112aa-eb54-49e2-8101-6027eb356f22,10/26/2025 6:20:56 PM,,10/26/2025 6:20:56 PM,,42815,,4/2/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,12:28,12:33,,0,0,,0,0
33,31c14d26-d5e7-40f3-8202-442c9fe33f70,10/26/2025 6:33:33 PM,,10/26/2025 6:33:33 PM,,POSE1,,4/2/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,09:52,09:57,,0,0,,0,0
34,34dea9e0-34ae-47eb-8f16-cf1e684f79a7,10/26/2025 6:35:05 PM,,10/26/2025 6:35:05 PM,,POSE2,,4/2/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,10:52,10:57,,0,0,,0,0
35,febad6f7-ea0f-4aea-8ca2-acb00fc74f52,10/26/2025 6:36:10 PM,,10/26/2025 6:36:10 PM,,42802,,4/2/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,11:41,11:46,,0,0,,0,0
36,442c71ef-8cdb-452f-8994-3882f2f91fef,10/26/2025 6:38:05 PM,,10/26/2025 6:38:05 PM,,128302,,4/1/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,15.1,,,11:21,11:26,,0,0,Flags pulled on second visit,0,0
37,8df4d909-5233-4171-8514-0cf55ebf8953,10/26/2025 6:40:11 PM,,10/26/2025 6:40:11 PM,,121063,,4/1/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,14.6,,,01:35,01:40,,0,0,Flags pulled on second visit,0,0
38,e3c882d6-8dac-4f2f-8e95-e201e95c0c14,10/26/2025 6:42:07 PM,,10/26/2025 6:42:07 PM,,121037,,4/1/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,15.1,,,15:15,15:20,,0,0,Flags pulled on second visit,0,0
39,8fcd8b14-b251-4641-8595-19903ec39cf2,10/26/2025 6:44:06 PM,,10/26/2025 6:44:06 PM,,121076,,4/1/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,16.8,,,12:28,12:33,,0,0,Flags pulled on second visit,0,0
40,bd33a241-401e-402e-8935-9d4857d2aa9d,10/26/2025 6:47:15 PM,,10/26/2025 6:47:15 PM,,128263,,4/2/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,9.5,,,14:28,14:33,,0,0,Bearing appears to be lost,0,0
41,1f1bef7e-c2e5-47a5-8f15-bc8527f262f4,10/26/2025 6:50:35 PM,,10/26/2025 6:50:35 PM,,120998,,4/1/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,9.8,,,16:02,16:07,,0,0,Flags pulled on the second visit,0,0
42,66d39b84-fa77-4694-890e-e5ab962c924a,10/26/2025 6:53:39 PM,,10/26/2025 6:53:39 PM,,89707,,4/2/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,14.1,,,10:09,10:14,,0,0,,0,0
43,656647d5-55c3-4386-8758-982f4ab14270,10/26/2025 6:55:12 PM,,10/26/2025 6:55:12 PM,,89693,,4/2/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,23.5,,,10:48,10:53,,0,0,Flags pulled on second visit,0,0
44,ee5ce1ff-bd85-4c3a-87fe-35e83a2d4e40,10/26/2025 7:46:19 PM,,10/26/2025 7:46:19 PM,,89680,,4/2/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,14.5,,,11:28,11:33,,0,0,Flags pulled out on the second visit. Short-eared owl flushed,0,0
45,c097ecfa-45a8-45ec-8826-c45a65cd6710,10/26/2025 7:51:02 PM,,10/26/2025 7:51:02 PM,,96854,,4/2/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,12.7,,,12:55,13:00,,0,0,,0,0
46,8b1b9d0a-1689-42e4-8279-643fa75f4e67,10/26/2025 7:52:53 PM,,10/26/2025 7:52:53 PM,,96867,,4/2/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,13.7,,,13:38,13:43,,0,0,,0,0
47,d848ba0c-a03f-4734-847e-d6181d875593,10/26/2025 7:55:22 PM,,10/26/2025 7:55:22 PM,,96880,,4/2/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,11.5,,,02:26,02:31,,0,0,Flags pulled on the second visit,0,0
48,99975296-32b5-4941-8a6a-fe829af2c684,10/26/2025 7:58:06 PM,,10/26/2025 7:58:06 PM,,96893,,4/2/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,14,,,15:12,15:17,,0,0,,0,0
49,979c4a7d-bc06-4867-857b-729d849d52bb,10/26/2025 7:59:56 PM,,10/26/2025 7:59:56 PM,,ARTR2,,4/3/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,16,,,10:52,10:57,,0,0,,0,0
50,78a0eee7-9766-4d7c-885e-798f883e3a6e,10/26/2025 8:02:15 PM,,10/26/2025 8:02:15 PM,,42776,,4/3/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,11.3,,,09:51,09:56,,0,0,"This is the third visit by mistake, the site was actually done on April 1st. Flags were pulled.",0,0
51,a1ff572b-2791-46d4-89fb-52df952b84b6,10/26/2025 9:25:14 PM,,10/26/2025 9:25:14 PM,,50002,,4/3/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,12.9,,,12:07,12:12,,0,0,Flags pulled on the second visit,0,0
52,bf4e64fb-dc8c-4ccc-8f4c-02b9daf81472,10/26/2025 9:28:30 PM,,10/26/2025 9:28:30 PM,,49989,,4/3/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,13.9,,,11:25,11:30,,0,0,Flags pulled on the second visit,0,0
53,9eb20bf8-2b08-4840-8eca-f5d69fe3afd4,10/26/2025 9:31:51 PM,,10/26/2025 9:31:51 PM,,121076,,4/1/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,12:28,12:33,,0,0,Pulled flags on the second visit,0,0
54,c6136ae9-e6f9-4c19-85e9-b92af6a4334b,10/26/2025 9:35:03 PM,,10/26/2025 9:35:03 PM,,120998,,4/1/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,16:02,16:07,,0,0,,0,0
55,0eb86e7e-6929-4346-8561-95c552e7917d,10/26/2025 10:15:57 PM,,10/26/2025 10:15:57 PM,,121037,,4/1/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,15:15,15:20,,0,0,,0,0
56,b0d1f134-43c5-4424-8aeb-a213b54c8418,10/26/2025 10:17:33 PM,,10/26/2025 10:17:33 PM,,96893,,4/2/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,15:12,15:17,,0,0,,0,0
57,9714ba2d-382b-412c-821a-5f7a80f52d55,10/26/2025 10:26:51 PM,,10/26/2025 10:26:51 PM,,96880,,4/2/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,14:26,14:31,,0,0,,0,0
58,e9b1ee8f-2f00-49e6-822e-7f8921cb9819,10/26/2025 10:28:56 PM,,10/26/2025 10:28:56 PM,,96854,,4/2/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,12:55,13:00,Active burrow,0,0,,0,0
59,0f710bb2-81eb-4ffd-8729-49b303de9faa,10/26/2025 10:29:47 PM,,10/26/2025 10:29:47 PM,,96867,,4/2/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,13:38,13:43,,0,0,,0,0
60,f33c8dff-985e-4899-8661-523a3773ebb2,10/26/2025 10:49:30 PM,,10/26/2025 10:49:30 PM,,89667,,4/2/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,12:12,12:17,Active burrow,0,0,,0,0
61,8caca62f-16b7-4e84-89e7-f607a0e28e5f,10/26/2025 10:50:58 PM,,10/26/2025 10:50:58 PM,,89693,,4/2/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,10:48,10:53,,0,0,,0,0
62,234acbfd-8173-44c5-8460-bc2ce98c4db9,10/26/2025 10:51:42 PM,,10/26/2025 10:51:42 PM,,89707,,4/2/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,10:09,10:14,Active burrow,0,0,,0,0
63,5efce9be-e47a-4811-8413-9add11469842,10/26/2025 10:52:51 PM,,10/26/2025 10:52:51 PM,,42776,,4/3/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,09:51,09:56,,0,0,This was actually the third visit,0,0
64,734e1543-21cf-435d-8625-9c69c30f0909,10/26/2025 10:53:52 PM,,10/26/2025 10:53:52 PM,,ARTR2,,4/3/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,10:52,10:57,,0,0,,0,0
65,f45c56ca-5f57-4936-8826-97e6bfb5db71,10/26/2025 10:54:41 PM,,10/26/2025 10:54:41 PM,,50002,,4/3/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,12:07,12:12,,0,0,,0,0
66,9062e1f5-58a8-41a2-8d6b-5febe9f46f18,10/26/2025 11:05:51 PM,,10/26/2025 11:05:51 PM,,128263,,4/1/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,14:28,14:33,,0,0,"Changed the bearing, and there was a light sprinkle.",0,0
67,1a379016-675d-4f76-8367-183c2870da58,10/26/2025 11:58:09 PM,,10/26/2025 11:58:09 PM,,42854,,3/29/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Random,,,,,,11:21,11:21,Fresh scat,1,0,,0,0
68,19a8477a-4597-4c25-8941-aa8a9fcda786,10/26/2025 11:59:14 PM,,11/17/2025 11:11:26 PM,JENCRUZ@boisestate.edu_boisestate,121063,,3/1/2025 7:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,13:35,13:40,,0,0,,0,0
69,4ba1502e-7061-4e0b-82a4-d8f2794e6297,10/26/2025 11:59:57 PM,,11/17/2025 11:11:30 PM,JENCRUZ@boisestate.edu_boisestate,ARTR1,,4/3/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 2 Random,,,,,,12:50,12:55,,0,0,,0,0
70,a6b7bfab-085e-493c-85a6-a756e4c373d2,10/27/2025 12:07:59 AM,,10/27/2025 12:07:59 AM,,SDHPLA6,,4/3/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,10.3,,,13:33,13:38,,0,0,,0,0
71,5d714409-47c5-4e88-830f-d0583de12472,10/27/2025 12:16:41 AM,,10/27/2025 12:16:41 AM,,58507,,4/5/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,5.8,,,10:36,10:41,,0,0,,0,0
72,689647db-d9c5-433e-8358-8444850dbb9f,10/27/2025 12:18:56 AM,,10/27/2025 12:18:56 AM,,81320,,4/5/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,6.2,,,12:36,12:41,Active burrow,0,0,,0,0
73,0f8fdeb3-ad02-4109-8d75-78ffe528c32a,10/27/2025 12:21:01 AM,,10/27/2025 12:21:01 AM,,BAPR1,,4/5/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,4.7,,,02:10,02:15,,0,0,,0,0
74,c36f6cbc-4557-4aee-86d8-256177f04808,10/27/2025 12:21:55 AM,,10/27/2025 12:21:55 AM,,89720,,4/5/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,4.3,,,13:19,13:24,,0,0,,0,0
75,f8d83570-aa7f-4951-8712-2c0b26a31fb7,10/27/2025 12:24:01 AM,,10/27/2025 12:24:01 AM,,BAPR2,,4/5/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,2.3,,,14:50,14:55,,0,0,,0,0
76,38146c4c-c2c3-4f34-8743-eabb699b5618,10/27/2025 12:38:12 AM,,10/27/2025 12:38:12 AM,,50054,,4/6/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,4.6,,,10:19,10:24,,0,0,,0,0
77,7df891a1-21a8-496d-83ba-e2295c4e9840,10/27/2025 2:11:32 PM,,10/27/2025 2:11:32 PM,,SSHALP1,,4/6/2025 6:00:00 PM,Lead,David Bontrager,,Day 2 Random,,,1.6,,,11:57,12:02,,0,0,,0,0
78,8fbfe869-63a5-4649-8ac4-93c81b03a251,10/27/2025 2:13:27 PM,,10/27/2025 2:13:27 PM,,42750,,3/24/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,2.2,,,11:37,11:42,,0,0,,0,0
79,efe74228-edcd-4480-8ba5-8ce16f947f3f,10/27/2025 2:15:57 PM,,10/27/2025 2:15:57 PM,,50002,,3/25/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,11,,,11:53,11:58,,0,0,,0,0
80,0aaafede-a5ab-4d0b-8965-3772fa77e19c,10/27/2025 2:17:00 PM,,10/27/2025 2:17:00 PM,,49989,,3/25/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,9.6,,,11:05,11:10,,0,0,,0,0
81,92f37c2f-253b-4239-8759-af61c1c56ccb,10/27/2025 2:18:28 PM,,10/27/2025 2:18:28 PM,,65589,,3/24/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,3.1,,,15:57,16:02,,0,0,,0,0
82,211cfe8a-c19b-4a04-8617-f0421f2a301f,10/27/2025 2:19:34 PM,,10/27/2025 2:19:34 PM,,ARTR2,,3/25/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,10.1,,,10:15,10:20,,0,0,,0,0
83,3454c24f-3d01-45b8-8189-31d8ff85a806,10/27/2025 2:20:34 PM,,10/27/2025 2:20:34 PM,,ARTR1,,3/25/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,9.4,,,12:51,12:56,,0,0,,0,0
84,ba9a51b0-ce6f-4976-8cb9-40500f800c97,10/27/2025 2:21:34 PM,,10/27/2025 2:21:34 PM,,34441,,3/25/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,9.2,,,14:20,14:25,,0,0,,0,0
85,b9ad52be-7796-4a0a-8354-dc8c0559c158,10/27/2025 2:23:32 PM,,10/27/2025 2:23:32 PM,,65589,,3/24/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Transect,,354,,,,15:46,15:51,,0,0,,0,0
86,7f010d31-41db-4e61-8aad-00e7aed0125a,10/27/2025 2:24:14 PM,,10/27/2025 2:24:14 PM,,65589,,3/24/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Random,,,,,,15:57,16:02,,0,0,,0,0
87,1bade8ec-887e-40b2-8397-14e9f2c68f3e,10/27/2025 2:26:02 PM,,10/27/2025 2:26:02 PM,,58376,,3/24/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Transect,,,,,,14:57,15:02,,0,0,,0,0
88,543089a4-3535-4029-8c22-98d841ff569d,10/27/2025 2:26:47 PM,,10/27/2025 2:26:47 PM,,58376,,3/24/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Random,,,,,,15:04,03:09,,0,0,,0,0
89,337e1a82-7cb6-48f3-8058-6b5d9a3f5bf1,10/27/2025 2:28:04 PM,,10/27/2025 2:28:04 PM,,SRHALP3,,3/24/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Transect,,215,,,,14:14,14:19,,0,0,,0,0
90,0c809a74-792f-4ad7-8cfa-c08d25c22915,10/27/2025 2:28:48 PM,,10/27/2025 2:28:48 PM,,SRHALP3,,3/24/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Random,,,,,,14:26,02:31,,0,0,,0,0
91,fb3fb628-c2c4-40f8-80a9-d1708bac56ae,10/27/2025 2:30:16 PM,,10/27/2025 2:30:16 PM,,42776,,3/24/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Transect,,123,,,,13:14,13:19,,0,0,,0,0
92,6f114ed9-a802-49bc-8ca0-0cebd5cccd35,10/27/2025 2:30:58 PM,,10/27/2025 2:30:58 PM,,42776,,3/24/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Random,,,,,,13:28,13:33,,0,0,,0,0
93,4f648c61-1724-45a6-888a-f89870c88a38,10/27/2025 2:32:15 PM,,10/27/2025 2:32:15 PM,,58376,,3/24/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,8,,,15:04,15:09,,0,0,,0,0
94,32927d09-fd58-402b-8434-aa175d40205b,10/27/2025 2:33:10 PM,,10/27/2025 2:33:10 PM,,SRHALP3,,3/24/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,4.8,,,14:26,14:31,,0,0,,0,0
95,9fde74cb-9b80-431b-8de4-e49d430e8d09,10/27/2025 2:34:18 PM,,10/27/2025 2:34:18 PM,,42776,,3/24/2025 6:00:00 PM,Lead,David Bontrager,,Day 1 Random,,,5.3,,,13:28,13:33,,0,0,,0,0
96,ec77130f-4164-46f7-8b50-0550dffe770b,10/27/2025 2:35:54 PM,,10/27/2025 2:35:54 PM,,SSHPLA4,,3/25/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Transect,YES,185,,,,14:59,14:04,,0,0,,0,0
97,add524d3-066c-4e41-8e0c-f61166de2fbf,10/27/2025 2:36:46 PM,,10/27/2025 2:36:46 PM,,SSHPLA4,,3/25/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Random,,,,,,17:10,17:15,,0,0,,0,0
98,57900469-7646-48c7-87c5-05d0dc6d7c05,10/27/2025 2:38:10 PM,,10/27/2025 2:38:10 PM,,34441,,3/25/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Transect,YES,160,,,,14:08,14:13,,0,0,,0,0
99,dce9890d-8dc1-45fd-891b-b378242a1a89,10/27/2025 2:38:51 PM,,10/27/2025 2:38:51 PM,,34441,,3/25/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Random,,,,,,14:20,02:25,,0,0,,0,0
100,da7ee6c2-2d80-428f-81b4-5dca212dfb5c,10/27/2025 2:41:02 PM,,10/27/2025 2:41:02 PM,,ARTR1,,3/25/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Transect,YES,155,,,,12:41,12:46,,0,0,"Mix of flags and flagging tape. The road crosses the transect, and there are jackrabbits with fresh badger burrows.",0,0
101,8149fc5a-2d72-4a3b-8d6e-222753f18f28,10/27/2025 2:41:41 PM,,10/27/2025 2:41:41 PM,,ARTR1,,3/25/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Random,,,,,,12:51,12:56,,0,0,"Mix of flags and flagging tape. The road crosses the transect, and there are jackrabbits with fresh badger burrows.",0,0
